Title,Author,User Rating,Reviews,Publishing Date,Main Genre,Primary Audience,Classics,Dystopia
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",4.47,7348,2003,Fantasy,Middle Grade,Yes,No
The Hunger Games,Suzanne Collins,4.33,30516,2005,Science Fiction,Young Adult,No,Yes
Twilight,Stephenie Meyer,3.6,14874,2006,Fantasy,Young Adult,No,No
To Kill a Mockingbird,Harper Lee,4.28,23328,2006,Historical,Young Adult,Yes,No
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",3.92,8142,2004,Historical,Adult,Yes,No
The Fault in Our Stars,John Green (Goodreads Author),4.21,11287,2012,Romance,Young Adult,No,No
1984,George Orwell,4.19,3544,2013,Science Fiction,Adult,Yes,Yes
Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",4.26,20452,2000,Romance,Adult,Yes,No
Divergent,Veronica Roth (Goodreads Author),4.19,8339,2013,Fantasy,Young Adult,No,Yes
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,1284,2002,Fantasy,Young Adult,Yes,No
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,3835,2007,Fantasy,Young Adult,No,No
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré (Illustrator)",4.57,2770,2004,Fantasy,Young Adult,No,No
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)",4.15,620,1993,Historical,Adult,Yes,No
Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",3.95,13264,1996,Fantasy,Adult,Yes,No
The Catcher in the Rye,J.D. Salinger,3.81,6533,2001,Historical,Young Adult,Yes,No
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré (Illustrator)",4.43,1567,1999,Fantasy,Young Adult,No,No
Angels & Demons,Dan Brown (Goodreads Author),3.9,217,2006,Mystery/Thriller,Adult,No,No
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (Translator)",4.14,3781,2008,Mystery/Thriller,Adult,No,No
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré (Illustrator)",4.56,2049,2002,Fantasy,Young Adult,Yes,No
Catching Fire,Suzanne Collins,4.29,760,2009,Fantasy,Young Adult,No,Yes
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré (Illustrator)",4.5,26923,2004,Fantasy,Young Adult,Yes,No
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,1889,2006,Fantasy,Young Adult,Yes,No
The Kite Runner,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",4.3,4774,2004,Historical,Adult,No,No
The Fellowship of the Ring,J.R.R. Tolkien,4.36,3820,1990,Fantasy,Young Adult,Yes,No
Mockingjay,Suzanne Collins,4.04,462,2010,Fantasy,Young Adult,No,Yes
Gone Girl,Gillian Flynn (Goodreads Author),4.08,533,2014,Mystery/Thriller,Adult,No,No
Lord of the Flies,William Golding,3.69,8230,1999,Historical,Young Adult,Yes,No
The Help,Kathryn Stockett (Goodreads Author),4.47,7693,2009,Historical,Adult,Yes,No
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.22,1476,2005,Fantasy,Middle Grade,Yes,No
The Girl on the Train,Paula Hawkins (Goodreads Author),3.93,123,2015,Mystery/Thriller,Adult,No,No
The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",3.88,8008,2014,Fantasy,Adult,Yes,No
Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",3.75,8282,2004,Romance,Adult,Yes,No
The Lovely Bones,Alice Sebold,3.82,5512,2006,Mystery/Thriller,Adult,No,No
A Game of Thrones,George R.R. Martin,4.45,6007,2005,Fantasy,Adult,No,No
The Lightning Thief,Rick Riordan (Goodreads Author),4.26,6370,2006,Fantasy,Middle Grade,No,No
Fifty Shades of Grey,E.L. James (Goodreads Author),3.66,856,2011,Romance,Adult,No,No
Of Mice and Men,John Steinbeck,3.88,7218,2002,Historical,Adult,Yes,No
The Da Vinci Code,Dan Brown (Goodreads Author),3.86,9231,2006,Mystery/Thriller,Adult,No,No
The Book Thief,Markus Zusak (Goodreads Author),4.37,14168,2006,Historical,Young Adult,Yes,No
The Giver,Lois Lowry (Goodreads Author),4.13,4566,2006,Science Fiction,Young Adult,Yes,No
Memoirs of a Geisha,Arthur Golden,4.12,8993,2005,Romance,Adult,Yes,No
Little Women,Louisa May Alcott,4.09,4063,2004,Historical,Young Adult,Yes,No
Fahrenheit 451,Ray Bradbury,3.99,8537,2011,Science Fiction,Adult,Yes,No
Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",4.13,8740,2003,Romance,Adult,Yes,No
City of Bones,Cassandra Clare (Goodreads Author),4.1,7601,2007,Fantasy,Young Adult,No,No
The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),3.97,6969,2013,Science Fiction,Adult,No,No
"Eat, Pray, Love",Elizabeth Gilbert (Goodreads Author),3.57,1123,2007,Historical,Young Adult,No,No
New Moon,Stephenie Meyer,3.54,59,2006,Romance,Adult,No,No
The Handmaid's Tale,Margaret Atwood (Goodreads Author),4.11,4648,1998,Fantasy,Adult,Yes,Yes